Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.simple.parseStatus,70158894,2965508,245264,707,6291456
All.simple.parseStatusLocal,81012805,6743846,245289,716,6291456
All.simple.parseStatusInfix,179068111,12047290,532026,1655,6291456
All.simple.parseStatusLocalInfix,304869026,27100088,762141,2660,6291456
All.local.parseStatus,32925569,2988464,110842,42,6291456
All.local.parseStatusLocal,1424964950,108822328,7811450,21602,7340032
All.local.parseStatusInfix,1032440518,84588242,445754,223,7340032
All.local.parseStatusLocalInfix,3383288437,246682738,8454972,21297,7340032
All.infix.parseStatus,27087189,2271248,110864,14,7340032
All.infix.parseStatusLocal,40993505,3654640,110874,15,7340032
All.infix.parseStatusInfix,256399593,23041544,549699,1810,7340032
All.infix.parseStatusLocalInfix,428212115,23875426,780108,2766,7340032
All.local_infix.parseStatus,30481608,2887778,103721,12,7340032
All.local_infix.parseStatusLocal,42937317,2224568,103720,12,7340032
All.local_infix.parseStatusInfix,1182583512,100557680,447940,210,7340032
All.local_infix.parseStatusLocalInfix,4351293050,367359806,11822414,26998,7340032
All.formatStatus,18550822,1798092,120721,74,10485760
All.formatStatus_compact,16826366,1626164,83333,141,10485760
All.readFormattedStatus,129147281,9944658,482153,4225,12582912
All.readFormattedStatus_compact,117114812,4238948,422965,4248,13631488
