Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.simple.parseStatus,73699896,5575058,245303,735,6291456
All.simple.parseStatusLocal,85201099,2063486,245285,713,6291456
All.simple.parseStatusInfix,169821204,12386754,534293,1769,6291456
All.simple.parseStatusLocalInfix,295801656,21804422,764379,2634,6291456
All.local.parseStatus,37216164,3188534,110859,41,6291456
All.local.parseStatusLocal,1522440912,103338148,7813183,21886,7340032
All.local.parseStatusInfix,804419037,42172744,445400,196,7340032
All.local.parseStatusLocalInfix,3031833175,169705652,8457618,20434,7340032
All.infix.parseStatus,35892198,2645594,110892,15,7340032
All.infix.parseStatusLocal,53339163,3391736,110891,15,7340032
All.infix.parseStatusInfix,240191687,21848724,549748,1816,7340032
All.infix.parseStatusLocalInfix,393709540,23603912,780076,2909,7340032
All.local_infix.parseStatus,38514114,3250586,103747,13,7340032
All.local_infix.parseStatusLocal,53832813,2313578,103741,12,7340032
All.local_infix.parseStatusInfix,904495331,84776072,447689,209,7340032
All.local_infix.parseStatusLocalInfix,3997474925,379633918,11828107,28197,7340032
All.formatStatus,21136465,1626014,120934,79,10485760
All.formatStatus_compact,18757548,937724,83438,15,10485760
All.readFormattedStatus,137835767,6285354,461083,2127,10485760
All.readFormattedStatus_compact,138584991,13312702,423639,2241,10485760
